character,category,meaning,onyomi,kunyomi,joyo_level,jlpt_level,wk_level
新,jōyō,new,しん,"あたら.しい, あら.た",2,N4,9
理,jōyō,reason,り,,2,N4,7
実,jōyō,"truth, reality",じつ,み,3,N3,9
我,jōyō,"i, me",が,われ,6,N1,26
父,jōyō,"father, dad",ふ,ちち,2,N5,3
後,jōyō,"behind, after, back, rear","ご, こう","うし.ろ, あと",2,N5,6
親,jōyō,parent,しん,"おや, した.しい",2,N4,10
心,jōyō,heart,しん,こころ,2,N4,3
目,jōyō,eye,もく,め,1,N4,2
題,jōyō,topic,だい,,3,N4,13
成,jōyō,become,せい,な.る,4,N3,11
最,jōyō,most,さい,もっと,4,N3,10
切,jōyō,cut,せつ,き.る,2,N4,3
動,jōyō,move,どう,うご.*,3,N4,12
多,jōyō,"many, much, lots of",た,おお.い,2,N4,5
先,jōyō,"previous, ahead, past, former",せん,"さき, まず",1,N5,4
誰,jōyō,who,,だれ,9,,43
取,jōyō,take,しゅ,と,3,N3,16
不,jōyō,not,ふ,,4,N4,4
的,jōyō,"target, al, ~al, like, ~like",てき,まと,4,,14
供,jōyō,"servant, companion",きょう,とも,6,N3,24
度,jōyō,"degrees, occurrence","ど, たく",,3,N4,9
発,jōyō,departure,はつ,,3,N4,9
地,jōyō,"earth, ground","ち, じ",,2,N4,6
着,jōyō,"wear, arrive",ちゃく,"き, つ",3,N4,12
計,jōyō,"measure, measurement",けい,はか.る,2,N4,15
力,jōyō,"power, strength","りょく, りき",ちから,1,N4,1
必,jōyō,certain,ひつ,かなら.ず,4,N3,7
強,jōyō,"strong, strength",きょう,つよ.い,2,N4,7
画,jōyō,"drawing, painting","が, かく",,2,N4,6
外,jōyō,outside,がい,"そと, はず",2,N5,3
屋,jōyō,"roof, shop, store",おく,や,3,N4,9
教,jōyō,teach,きょう,おし.える,2,N4,7
楽,jōyō,"comfort, ease, pleasure","がく, らく",たの.しい,2,N4,8
長,jōyō,"long, leader",ちょう,なが.い,2,N5,6
英,jōyō,"england, english",えい,,4,N4,15
考,jōyō,"think, consider",こう,かんが,2,N4,5
電,jōyō,electricity,でん,,2,N5,8
結,jōyō,"bind, tie",けつ,むす.ぶ,4,N1,17
決,jōyō,"decide, decision",けつ,き.める,3,N3,8
無,jōyō,nothing,"む, ぶ",な.い,4,,17
場,jōyō,"location, place",じょう,ば,2,N4,8
母,jōyō,"mother, mom, mum",ぼ,はは,2,N5,3
起,jōyō,wake up,き,お,3,N4,10
同,jōyō,same,どう,おな.じ,2,N4,5
名,jōyō,"name, famous","めい, みょう",な,1,N5,4
高,jōyō,"tall, expensive, high",こう,たか.い,2,N5,7
違,jōyō,different,い,ちが,9,N3,24
僕,jōyō,"i, me",ぼく,,9,N1,44
月,jōyō,"moon, month","げつ, がつ",つき,1,N5,2
小,jōyō,"small, little",しょう,"ちい.さい, こ",1,N5,2
読,jōyō,read,"とう, どく",よ,2,N5,10
校,jōyō,school,こう,,1,N5,7
買,jōyō,buy,ばい,か,2,N4,8
用,jōyō,"task, use",よう,もち.いる,2,N4,3
変,jōyō,"change, strange",へん,か.*,4,N3,15
昨,jōyō,"previous, yesterday",さく,,4,N3,15
作,jōyō,make,"さく, さ",つく.る,2,N4,5
悪,jōyō,"bad, evil","あく, お",わる.い,3,N4,12
道,jōyō,"road, street, path, way",どう,みち,2,N4,8
社,jōyō,company,しゃ,やしろ,2,N4,5
所,jōyō,place,しょ,ところ,3,N3,8
雨,jōyō,rain,う,"あめ, あま",1,N5,5
歩,jōyō,walk,ほ,ある.く,2,N4,6
男,jōyō,man,だん,おとこ,1,N5,4
機,jōyō,machine,き,,4,N3,20
世,jōyō,generation,"せ, せい",よ,3,N4,4
待,jōyō,wait,たい,ま,3,N4,9
近,jōyō,"near, close",きん,ちか.い,2,N4,5
対,jōyō,versus,たい,,3,N3,8
解,jōyō,"untie, solve",かい,"と.く, と.ける",5,N3,21
運,jōyō,"carry, luck",うん,はこ.ぶ,3,N4,10
使,jōyō,use,し,つか.う,3,N4,9
試,jōyō,"try, attempt",し,"こころ.みる, ため",4,N4,18
友,jōyō,friend,ゆう,とも,2,N5,3
良,jōyō,good,りょう,"よ, い",4,N3,11
終,jōyō,"end, finish",しゅう,"おわ.り, お",3,N4,10
業,jōyō,business,ぎょう,,3,N4,10
遅,jōyō,slow,ち,"おそ.い, おく.*",9,N3,35
信,jōyō,"believe, trust",しん,しん,4,N3,15
正,jōyō,correct,"せい, しょう",ただ.しい,1,N4,2
水,jōyō,water,すい,みず,1,N5,2
然,jōyō,nature,ぜん,,4,N3,13
勉,jōyō,exertion,べん,,3,N4,12
乗,jōyō,ride,じょう,の,3,N3,9
説,jōyō,theory,せつ,と.く,4,N3,17
以,jōyō,"by means of, by the means of, by way of, by the way of",い,,4,N4,7
紙,jōyō,paper,し,かみ,2,N4,7
受,jōyō,"accept, receive",じゅ,う,3,N3,9
週,jōyō,week,しゅう,,2,N4,7
失,jōyō,fault,しつ,うしな.う,4,N3,7
病,jōyō,"sick, sickness, ill, illness",びょう,や,3,N4,10
音,jōyō,sound,おん,"おと, ね",1,N4,5
体,jōyō,body,たい,からだ,2,N4,5
死,jōyō,death,し,し.ぬ,3,N4,6
住,jōyō,"dwelling, reside, dwell",じゅう,す.む,3,N4,8
帰,jōyō,"return, return home",き,かえ,2,N4,15
故,jōyō,"circumstance, reason",こ,ゆえ,5,N1,26
足,jōyō,"foot, leg, sufficient",そく,"あし, た.りる",1,N4,4
関,jōyō,"related, connected",かん,,4,N3,16
夜,jōyō,"night, evening",や,"よ, よる",2,N4,6
助,jōyō,help,じょ,たす.ける,3,N3,8
口,jōyō,mouth,"こう, く",くち,1,N4,1
性,jōyō,"gender, nature","せい, しょう",,5,N3,14
感,jōyō,feeling,かん,,3,N3,13
代,jōyō,"substitute, replacement, period, age",だい,"かわ.る, かえ.る",3,N4,4
始,jōyō,"begin, start",し,はじ,3,N4,9
降,jōyō,descend,こう,"お.りる, ふ.る",6,N3,34
重,jōyō,heavy,"じゅう, ちょう",おも.い,3,N4,9
空,jōyō,sky,くう,"そら, あ",1,N4,5
数,jōyō,"count, number, amount",すう,"かぞ.える, かず",2,N3,8
味,jōyō,"flavor, taste, flavour",み,あじ,3,N4,11
難,jōyō,difficult,なん,むずか.しい,6,N3,20
験,jōyō,test,けん,,4,N4,18
命,jōyō,fate,めい,いのち,3,N3,11
番,jōyō,"number in a series, turn, ordinal number",ばん,,2,N3,8
早,jōyō,"early, fast, quick",そう,はや.い,1,N4,4
向,jōyō,"yonder, facing",こう,む.き,3,N3,6
転,jōyō,revolve,てん,ころ.ぶ,3,N4,10
文,jōyō,"writing, sentence","ぶん, もん",,1,N4,2
働,jōyō,"work, labor, labour",どう,はたら.*,4,N3,11
面,jōyō,"surface, face",めん,,3,N3,16
朝,jōyō,morning,ちょう,あさ,2,N4,8
約,jōyō,promise,やく,,4,N3,14
二,jōyō,two,に,ふた.*,1,N5,1
回,jōyō,"times, revolve",かい,まわ.＊,2,N3,5
風,jōyō,"wind, style",ふう,かぜ,2,N4,7
定,jōyō,determine,"てい, じょう",さだ,3,N3,9
直,jōyō,"fix, direct","ちょく, じき",なお.す,2,N3,6
飛,jōyō,fly,ひ,と,4,N3,20
美,jōyō,"beauty, beautiful",び,うつく.しい,3,N3,9
過,jōyō,surpass,か,す.ぎ,5,N3,22
注,jōyō,pour,ちゅう,そそ.ぐ,3,N4,11
得,jōyō,acquire,とく,え.る,4,N3,19
現,jōyō,"present time, present",げん,あらわ.*,5,N3,23
真,jōyō,reality,しん,ま,3,N4,16
利,jōyō,"profit, benefit, advantage",り,き.く,4,N3,11
引,jōyō,pull,いん,ひ,2,N3,3
開,jōyō,"open, opened",かい,あけ.る,3,N4,10
伝,jōyō,"transmit, tell",でん,"つた, つて",4,N3,11
議,jōyō,"deliberation, discussion",ぎ,,4,N3,20
付,jōyō,attach,ふ,つ,4,N3,7
功,jōyō,"achievement, accomplishment",こう,,4,N1,11
天,jōyō,heaven,てん,,1,N5,2
有,jōyō,have,ゆう,あ.る,3,N4,6
犬,jōyō,dog,けん,いぬ,1,N4,2
法,jōyō,"method, law",ほう,,4,N3,15
身,jōyō,"somebody, someone, body",しん,み,3,,8
活,jōyō,lively,かつ,,2,N3,6
料,jōyō,"fee, material",りょう,,4,N4,13
医,jōyō,medicine,い,,3,N4,8
休,jōyō,rest,きゅう,やす.み,1,N5,4
飲,jōyō,drink,いん,の,3,N4,10
論,jōyō,theory,ろん,,6,N3,20
若,jōyō,young,,わか,6,N3,19
急,jōyō,hurry,きゅう,いそ.ぐ,3,N4,16
幸,jōyō,happiness,こう,"しあわ.せ, さいわ.い",3,N3,16
息,jōyō,breath,そく,いき,3,N3,12
旅,jōyō,"trip, travel",りょ,たび,3,N4,12
常,jōyō,"normal, ordinary",じょう,つね,5,N3,17
能,jōyō,ability,のう,,5,N3,14
婚,jōyō,marriage,こん,,9,N3,30
赤,jōyō,red,せき,あか,1,N4,4
次,jōyō,next,じ,つぎ,3,N3,6
込,jōyō,crowded,,こ,9,N3,32
経,jōyō,"passage of time, pass through, manage",けい,た.つ,5,N3,20
点,jōyō,"point, decimal, decimal point",てん,つ.ける,2,N3,6
