character,category,meaning,onyomi,kunyomi,joyo_level,jlpt_level,wk_level
裁,jōyō,judge,さい,さば.く,6,N1,23
奥,jōyō,interior,おう,おく,9,N2,38
丈,jōyō,"height, ten feet",じょう,たけ,9,,15
逆,jōyō,reverse,ぎゃく,さか.らう,5,N2,28
拠,jōyō,based on,きょ,よ.る,9,N1,41
握,jōyō,grip,あく,にぎ.る,9,N1,42
愚,jōyō,foolish,ぐ,おろ,9,N1,54
胸,jōyō,chest,きょう,むね,6,N2,18
攻,jōyō,"aggression, attack, offence, offense",こう,せ.める,9,N1,28
塗,jōyō,paint,と,ぬる,9,N2,48
導,jōyō,lead,どう,みちび.く,5,N2,23
貯,jōyō,savings,ちょ,たくわ.える,4,N2,26
歓,jōyō,delight,かん,,9,N1,34
芝,jōyō,lawn,し,しば,9,N1,42
狂,jōyō,"lunatic, crazy",きょう,くる.*,9,N1,45
誘,jōyō,invite,ゆう,さ.そう,9,N1,27
績,jōyō,exploits,せき,,5,N2,32
免,jōyō,excuse,めん,まねか.れる,9,N1,39
抗,jōyō,confront,こう,,9,N1,37
毒,jōyō,poison,どく,,4,N2,15
岸,jōyō,"coast, shore",がん,きし,3,N2,11
柄,jōyō,pattern,へい,がら,9,N1,42
池,jōyō,pond,ち,いけ,2,N2,5
録,jōyō,record,ろく,,4,N2,28
隊,jōyō,squad,たい,,4,N1,28
庫,jōyō,"storage, warehouse",こ,くら,3,N2,28
氷,jōyō,ice,ひょう,こおり,3,N2,4
塩,jōyō,salt,えん,しお,4,N2,17
志,jōyō,intention,し,こころざ.し,5,N1,32
伸,jōyō,stretch,しん,の,9,N2,36
陰,jōyō,shade,いん,かげ,9,N1,45
刑,jōyō,punish,けい,,9,N1,37
宝,jōyō,treasure,ほう,たから,6,N2,33
奴,jōyō,dude,ど,やつ,9,N1,34
廃,jōyō,obsolete,はい,すな,9,N1,36
端,jōyō,edge,たん,はし,9,N1,27
悩,jōyō,worry,のう,なや,9,N2,27
誇,jōyō,pride,こ,ほこ.る,9,N1,46
皿,jōyō,plate,,さら,3,N2,4
酔,jōyō,drunk,すい,よ.う,9,N1,35
承,jōyō,consent,しょう,うけたまわ.る,5,N2,34
継,jōyō,inherit,けい,つ.ぐ,9,N1,36
源,jōyō,origin,げん,みなもと,6,N1,34
郎,jōyō,guy,ろう,,9,N1,27
宇,jōyō,outer space,う,,6,N2,19
輝,jōyō,radiance,き,かがやき,9,N1,48
条,jōyō,clause,じょう,,5,N1,21
模,jōyō,imitation,"も, ぼ",,6,N1,25
句,jōyō,paragraph,く,,5,N1,18
丸,jōyō,"circle, circular, round",がん,まる,2,N2,2
鉛,jōyō,lead,えん,なまり,9,N1,26
宙,jōyō,mid air,ちゅう,,6,N1,19
級,jōyō,"rank, grade, level",きゅう,,3,N1,11
印,jōyō,seal,いん,しるし,4,N2,26
整,jōyō,"arrange, organize",せい,ととの.*,3,N1,13
噂,jinmeiyō,"rumor, gossip, hearsay",ソン,うわさ,0,,0
南,jōyō,south,なん,みなみ,2,N5,6
底,jōyō,bottom,てい,そこ,4,N2,17
浴,jōyō,bathe,よく,あ,4,N2,16
紀,jōyō,"account, narrative",き,,4,N1,15
罰,jōyō,"penalty, punishment",ばつ,ばつ,9,N1,22
預,jōyō,deposit,よ,あず.ける,5,N2,30
踊,jōyō,dance,よう,おど,9,N2,48
鼻,jōyō,nose,び,はな,3,N2,17
鏡,jōyō,mirror,きょう,かがみ,4,N1,13
豊,jōyō,plentiful,ほう,ゆた.か,5,N2,25
眼,jōyō,eyeball,がん,め,5,N1,32
帯,jōyō,belt,たい,おび,4,N2,31
匹,jōyō,"small animal, small animal counter",ひき,,9,N2,44
皮,jōyō,skin,ひ,かわ,3,N2,4
波,jōyō,wave,は,なみ,3,N2,11
肩,jōyō,shoulder,けん,かた,9,N2,24
看,jōyō,watch over,かん,,6,N1,23
就,jōyō,settle in,しゅう,つ.く,6,N1,27
糖,jōyō,sugar,とう,,6,N1,33
跡,jōyō,traces,せき,あと,9,N2,37
訴,jōyō,sue,そ,うった.える,9,N1,25
召,jōyō,"call, eat",しょう,め.す,9,N2,51
穴,jōyō,"hole, cave",けつ,あな,6,N1,20
祝,jōyō,celebrate,しゅく,いわ.う,4,N2,24
盛,jōyō,"pile, heaps","せい, じょう","も.る, さか.ん",6,N1,33
賃,jōyō,rent,ちん,,6,N1,33
永,jōyō,eternity,えい,,5,N2,32
拒,jōyō,refusal,きょ,こば.む,9,N1,39
八,jōyō,eight,はち,や.*,1,N5,1
災,jōyō,disaster,さい,わざわ.い,5,N1,20
圧,jōyō,pressure,あつ,,5,N2,20
締,jōyō,tighten,てい,し,9,N1,27
詰,jōyō,stuffed,"きつ, きち","つ, づ",9,N2,29
党,jōyō,group,とう,,6,N2,32
推,jōyō,infer,すい,,6,N1,34
遂,jōyō,accomplish,すい,"と.げる, つい",9,N1,48
概,jōyō,approximation,がい,おおむ.ね,9,N1,49
革,jōyō,leather,かく,かわ,6,N2,23
誉,jōyō,honor,よ,ほ.める,9,N1,40
標,jōyō,signpost,ひょう,しるし,4,N1,13
怪,jōyō,suspicious,"かい, け",あや.しい,9,N1,26
紅,jōyō,"deep red, crimson",こう,べに,6,N2,34
衣,jōyō,clothes,"い, え",ころも,4,N2,41
含,jōyō,include,がん,ふく.む,9,N2,25
撮,jōyō,"photograph, photo",さつ,と.る,9,N1,30
療,jōyō,heal,りょう,,9,N2,36
紳,jōyō,gentleman,しん,,9,N1,56
犠,jōyō,sacrifice,ぎ,,9,N1,40
奏,jōyō,play music,そう,,6,N1,38
忍,jōyō,endure,にん,しの.ぶ,9,N1,44
牲,jōyō,offering,せい,,9,N1,52
久,jōyō,long time,きゅう,ひさ,5,N2,3
城,jōyō,castle,じょう,しろ,6,N2,23
照,jōyō,illuminate,しょう,て.*,4,N2,30
棚,jōyō,shelf,ほう,たな,9,N1,44
株,jōyō,"stocks, shares",,かぶ,6,N1,24
属,jōyō,belong,ぞく,,5,N1,25
蔑,jōyō,"scorn, neglect",べつ,さげす,9,,59
釈,jōyō,explanation,"しゃく, せき","す, とく, ゆる",9,N1,51
腰,jōyō,waist,よう,こし,9,N2,24
腐,jōyō,rot,ふ,くさ.る,9,N1,34
香,jōyō,fragrance,"こう, きょう","かお, か",9,N2,37
築,jōyō,"construct, build",ちく,,5,N2,15
貨,jōyō,freight,か,,4,N2,31
州,jōyō,"state, province, county",しゅう,,3,N2,6
霊,jōyō,ghost,"れい, りょう",,9,N1,45
祭,jōyō,festival,さい,"まつり, まつ",3,N2,12
批,jōyō,criticism,ひ,,6,N1,21
筋,jōyō,"muscle, tendon",きん,すじ,6,N1,33
巻,jōyō,scroll,かん,ま.く,6,N2,25
頑,jōyō,stubborn,がん,,9,N1,14
契,jōyō,pledge,けい,,9,N1,37
創,jōyō,create,そう,,6,N1,26
抑,jōyō,suppress,よく,おさ.える,9,N1,38
郷,jōyō,hometown,きょう,,6,N1,41
己,jōyō,oneself,"こ, き",おのれ,6,N1,35
呂,jōyō,bath,"ろ, りょ",せぼね,9,N1,52
冒,jōyō,dare,ぼう,おか.す,9,N1,16
請,jōyō,request,せい,う.ける,9,N1,29
担,jōyō,"carry, bear",たん,"にな.う, かつ.ぐ",6,N2,24
憶,jōyō,recollection,おく,,9,N1,48
依,jōyō,"reliant, dependant",い,,9,N2,36
敢,jōyō,daring,かん,あ,9,N1,57
椅,jōyō,chair,い,,9,,46
材,jōyō,"lumber, timber",ざい,,4,N2,14
管,jōyō,pipe,かん,くだ,4,N2,24
菜,jōyō,vegetable,さい,,4,N2,31
襲,jōyō,attack,しゅう,おそ.う,9,N1,43
超,jōyō,"ultra, super",ちょう,こ.*,9,N2,36
輪,jōyō,"wheel, ring, loop",りん,わ,4,N2,13
凍,jōyō,frozen,とう,こお.る,9,N2,28
板,jōyō,board,はん,いた,3,N2,29
瓶,jōyō,bottle,びん,かめ,9,N2,51
緊,jōyō,tense,きん,,9,N1,29
濯,jōyō,wash,たく,"すす.ぐ, ゆす.ぐ, そそぐ",9,N2,51
潔,jōyō,pure,けつ,いさぎよ.い,5,N1,28
季,jōyō,seasons,き,,4,N2,14
六,jōyō,six,ろく,む.つ,1,N5,2
渉,jōyō,ford,しょう,,9,N1,17
栄,jōyō,"prosperity, flourish",えい,さか.える,4,N2,17
貿,jōyō,trade,ぼう,,5,N2,36
誠,jōyō,sincerity,せい,まこと,6,N1,41
汽,jōyō,steam,き,,2,N1,18
銃,jōyō,gun,じゅう,,9,N1,39
版,jōyō,edition,はん,,5,N2,30
納,jōyō,supply,のう,おさ.*,6,N1,33
遺,jōyō,leave behind,い,,6,N1,36
眺,jōyō,stare,ちょう,なが.める,9,N1,45
熟,jōyō,ripen,じゅく,う.れる,6,N1,33
総,jōyō,whole,そう,,5,N2,21
著,jōyō,author,ちょ,いちじる.しい,6,N2,33
井,jōyō,well,しょう,い,9,N1,45
九,jōyō,nine,"く, きゅう",ここの.*,1,N5,1
駆,jōyō,gallop,く,か,9,N1,40
袋,jōyō,sack,,ふくろ,9,N2,42
辛,jōyō,spicy,しん,"から.い, つら.い",9,N2,44
闇,jōyō,darkness,"あん, おん",やみ,9,,48
沢,jōyō,swamp,たく,さわ,9,N1,23
織,jōyō,weave,"しき, しょく",お.る,5,N1,27
刺,jōyō,stab,し,さ.*,9,N2,26
埋,jōyō,bury,まい,う,9,N2,39
繰,jōyō,spin,そう,く,9,N1,38
旧,jōyō,former,きゅう,,5,N2,36
測,jōyō,measure,そく,はか.る,5,N2,35
飯,jōyō,"meal, food",はん,めし,4,N4,15
緑,jōyō,green,りょく,みどり,3,N2,13
駐,jōyō,resident,ちゅう,,9,N2,40
羽,jōyō,"feather, feathers, wing, wings",,はね,2,N2,5
臓,jōyō,internal organs,ぞう,,6,N2,34
各,jōyō,each,かく,おの,4,N2,22
典,jōyō,rule,てん,,4,N1,16
券,jōyō,ticket,けん,,5,N2,28
踏,jōyō,step,とう,ふ.む,9,N1,36
揺,jōyō,shake,よう,ゆ.*,9,N1,42
唯,jōyō,solely,ゆい,ただ,9,N1,49
覆,jōyō,"capsize, cover",ふく,"おお.う, くつがえ.*",9,N1,49
酸,jōyō,acid,さん,す,5,N1,32
札,jōyō,"bill, label, note",さつ,ふだ,4,N2,7
摘,jōyō,pluck,てき,つ.む,9,N1,36
施,jōyō,carry out,し,ほどこ.す,9,N1,23
占,jōyō,"fortune, occupy",せん,"うらな.い, しめる",9,N2,26
令,jōyō,orders,れい,,4,N2,11
祈,jōyō,"pray, prayer",き,いの.る,9,N2,18
渋,jōyō,bitter,じゅう,しぶ.い,9,N1,39
狭,jōyō,narrow,きょう,"せま, せば",9,N1,24
稼,jōyō,earnings,か,かせ.ぐ,9,N1,45
衝,jōyō,collide,しょう,つ.く,9,N1,40
省,jōyō,conserve,"しょう, せい",はぶ.く,4,N2,21
雄,jōyō,"male, brave",ゆう,おす,9,N1,29
票,jōyō,ballot,ひょう,,4,N1,25
訓,jōyō,instruction,くん,,4,N2,18
鮮,jōyō,fresh,せん,あざ.やか,9,N1,25
均,jōyō,equal,きん,ひと.しい,5,N2,31
癖,jōyō,habit,へき,くせ,9,N1,46
霧,jōyō,fog,む,きり,9,N1,47
販,jōyō,sell,はん,,9,N2,24
薄,jōyō,dilute,はく,うす.*,9,N2,40
複,jōyō,duplicate,ふく,,5,N2,32
署,jōyō,"government office, political office, office",しょ,,6,N2,17
滑,jōyō,slippery,かつ,"すべ.る, なめ.らか",9,N1,42
闘,jōyō,struggle,とう,たたか.う,9,N1,37
悟,jōyō,comprehension,ご,さと.る,9,N1,49
勘,jōyō,intuition,かん,,9,N1,49
慎,jōyō,humility,しん,つつし.む,9,N1,39
児,jōyō,child,じ,,4,N2,28
藤,jōyō,wisteria,"とう, どう",ふじ,9,N1,22
催,jōyō,sponsor,さい,もよお.す,9,N1,29
銭,jōyō,coin,せん,ぜに,5,N1,32
干,jōyō,"dry, dry out",かん,"ほ.す, ひ",6,N2,17
蔵,jōyō,storehouse,ぞう,くら,6,N2,33
距,jōyō,distance,きょ,,9,N1,43
堂,jōyō,"hall, public chamber",どう,,4,N4,17
採,jōyō,gather,さい,と.る,5,N2,32
仮,jōyō,temporary,か,かり,5,N1,9
幼,jōyō,"infancy, child",よう,おさな.い,6,N2,28
諸,jōyō,various,しょ,もろ,6,N2,33
叱,jōyō,scold,,しか,9,,44
咲,jōyō,blossom,しょう,さ,9,N2,48
嬉,jinmeiyō,"glad, pleased, rejoice",キ,うれ.しい、 たの.しむ,0,N1,0
乾,jōyō,dry,かん,かわ.*,9,N2,29
威,jōyō,majesty,い,,9,N1,43
層,jōyō,layer,そう,,6,N2,24
磨,jōyō,polish,ま,みが,9,N2,45
迫,jōyō,"urge, compel, coerce",はく,せま.る,9,N1,27
辱,jōyō,humiliate,じょく,はずかし.める,9,N1,48
逮,jōyō,apprehend,たい,,9,N1,25
較,jōyō,contrast,かく,,9,N1,26
睡,jōyō,drowsy,すい,,9,N1,27
編,jōyō,knit,へん,あ.む,5,N2,31
裂,jōyō,split,れつ,さ.*,9,N1,43
射,jōyō,shoot,しゃ,"い.る, さ.す",6,N1,34
徹,jōyō,penetrate,てつ,てっ.する,9,N1,41
桜,jōyō,"sakura, cherry tree",,さくら,5,N1,32
俳,jōyō,haiku,はい,,6,N1,23
荒,jōyō,wild,こう,"あ, あら",9,N2,42
侮,jōyō,despise,ぶ,"あなず, あなど",9,N1,59
濃,jōyō,thick,のう,こ.い,9,N2,27
武,jōyō,military,ぶ,たけ,5,N2,24
翌,jōyō,"the following, following",よく,,6,N2,30
翻,jōyō,flip,ほん,ひるがえ.*,9,N1,50
勧,jōyō,recommend,かん,すす.める,9,N1,39
飽,jōyō,"bored, sated",ほう,あ,9,N1,56
林,jōyō,"forest, woods",りん,はやし,1,N2,5
了,jōyō,"finish, complete, end",りょう,,9,N2,2
載,jōyō,publish,さい,"の.せる, の.る",9,N1,24
添,jōyō,append,てん,そ.える,9,N1,29
双,jōyō,pair,そう,ふた,9,N2,42
孤,jōyō,"orphan, alone",こ,,9,N1,52
羊,jōyō,sheep,よう,ひつじ,3,N1,6
聖,jōyō,holy,せい,,6,N1,34
瞬,jōyō,blink,しゅん,またた.く,9,N1,46
浜,jōyō,beach,ひん,はま,9,N1,28
七,jōyō,seven,しち,なな.*,1,N5,1
岩,jōyō,boulder,がん,いわ,2,N2,15
粉,jōyō,powder,ふん,"こな, こ",4,N2,31
仰,jōyō,look up to,ぎょう,あお.ぐ,9,N1,50
控,jōyō,abstain,こう,ひか,9,N1,39
没,jōyō,die,"ぼつ, もつ","おぼ, しず, ない",9,N1,52
億,jōyō,hundred million,おく,,4,N2,13
針,jōyō,needle,しん,はり,6,N2,26
繁,jōyō,overgrown,はん,しげ.*,9,N1,40
幾,jōyō,"how many, how much",き,いく,9,N3,31
珍,jōyō,rare,ちん,めずら.しい,9,N2,43
脚,jōyō,leg,きゃく,あし,9,N1,45
厚,jōyō,thick,こう,あつ,5,N2,20
鞄,jinmeiyō,"suitcase, bag, briefcase",ハク、 ホウ、 ビョウ,かばん,0,,0
章,jōyō,chapter,しょう,,3,N2,12
黄,jōyō,yellow,,き,2,N2,7
清,jōyō,pure,"せい, しょう",きよ.い,4,N2,28
略,jōyō,"abbreviation, abbreviate",りゃく,りゃく.す,5,N2,29
嘆,jōyō,sigh,たん,なげ.く,9,N1,31
操,jōyō,"manipulate, chastity",そう,"あやつ.る, みさお",6,N1,33
飢,jōyō,starve,き,う.える,9,N1,48
洪,jōyō,flood,こう,,9,N1,56
麦,jōyō,wheat,,むぎ,2,N2,5
脳,jōyō,brain,のう,,6,N2,18
宗,jōyō,religion,しゅう,,6,N1,29
至,jōyō,attain,し,いた.る,6,N1,41
雷,jōyō,thunder,らい,かみなり,9,N1,44
衛,jōyō,defense,えい,,5,N1,32
症,jōyō,symptom,しょう,,9,N1,27
焦,jōyō,char,しょう,"こ.*, あせ.*",9,N1,42
臭,jōyō,"stinking, stinky, smelly",しゅう,くさ,9,N1,20
麻,jōyō,hemp,ま,あさ,9,N1,48
脅,jōyō,threaten,きょう,おど.*,9,N1,48
喧,jinmeiyō,"noisy, boisterous",ケン,やかま.しい、 かまびす.しい,0,,0
胃,jōyō,stomach,い,,4,N2,27
拝,jōyō,worship,はい,おが.む,6,N2,34
需,jōyō,demand,じゅ,,9,N1,38
核,jōyō,nucleus,かく,かく,9,N1,36
獲,jōyō,seize,かく,え.る,9,N1,40
募,jōyō,recruit,ぼ,つの.る,9,N2,37
柔,jōyō,gentle,じゅう,やわ.*,9,N2,43
旨,jōyō,"point, delicious",し,"うま.い, むね",9,N1,43
詞,jōyō,"part of speech, speech particle, particle of speech, grammar particle",し,,6,N2,19
幽,jōyō,secluded,ゆう,,9,N1,46
丁,jōyō,street,ちょう,,3,N1,2
玄,jōyō,mysterious,げん,,9,N1,51
覧,jōyō,look at,らん,,6,N1,30
飾,jōyō,decorate,しょく,かざ.る,9,N1,30
徳,jōyō,virtue,とく,,5,N1,31
侵,jōyō,invade,しん,おか.す,9,N1,41
尾,jōyō,tail,び,"お, ぽ",9,N1,20
憎,jōyō,hate,ぞう,にく.*,9,N2,47
浪,jōyō,wander,ろう,,9,N1,59
嘩,jinmeiyō,noisy,カ、 ケ,かまびす.しい,0,,0
挨,jōyō,"approach, draw near, push open",アイ,ひら.く,9,,0
拶,jōyō,"be imminent, draw close",サツ,せま.る,9,,0
陥,jōyō,cave in,かん,"おちい, おとしい",9,N1,52
谷,jōyō,valley,こく,たに,2,N2,5
監,jōyō,oversee,かん,,9,N1,29
沿,jōyō,run alongside,えん,そ.う,6,N1,34
審,jōyō,judge,しん,,9,N1,21
幅,jōyō,width,ふく,はば,9,N2,36
範,jōyō,example,はん,,9,N1,42
憩,jōyō,rest,けい,いこ.い,9,N1,47
封,jōyō,"seal, seal in, closing","ふう, ほう",,9,N2,43
漏,jōyō,leak,ろう,"も.らす, も.る",9,N1,30
遣,jōyō,dispatch,けん,"つか.う, や.る",9,N1,37
炎,jōyō,"flame, big fire",えん,ほのお,9,N1,35
宣,jōyō,proclaim,せん,,6,N1,33
購,jōyō,subscription,こう,,9,N1,30
殴,jōyō,assault,おう,なぐ.る,9,N1,48
刈,jōyō,prune,,か,9,N1,49
軒,jōyō,house counter,けん,のき        ,9,N2,51
即,jōyō,instant,そく,すなわ.ち,9,N1,43
舌,jōyō,tongue,ぜつ,した,5,N1,19
伺,jōyō,pay respects,し,うかが,9,N2,41
択,jōyō,select,たく,えら.ぶ,9,N1,38
房,jōyō,cluster,ぼう,ふさ,9,N1,38
硬,jōyō,stiff,こう,かた.い,9,N2,45
塔,jōyō,tower,とう,,9,N2,44
牧,jōyō,pasture,ぼく,まき,4,N1,43
拾,jōyō,pick up,,ひろ,3,N2,11
涯,jōyō,horizon,がい,はて,9,N1,50
遭,jōyō,"encounter, meet",そう,あ,9,N1,52
徴,jōyō,"indication, sign",ちょう,,9,N1,26
献,jōyō,offer,けん,たてまつ.る,9,N1,36
揮,jōyō,brandish,き,,6,N1,34
寂,jōyō,lonely,"じゃく, せき","さび, さみ",9,N1,56
灯,jōyō,lamp,とう,"あかり, とも",4,N2,48
熊,jōyō,bear,,くま,9,N1,35
酷,jōyō,"cruel, unjust",こく,ひど,9,N1,54
伏,jōyō,"bow, lay",ふく,ふ,9,N1,55
玉,jōyō,ball,,たま,1,N2,2
惰,jōyō,lazy,だ,,9,N1,52
秀,jōyō,excel,しゅう,ひい.でる,9,N1,23
蓄,jōyō,amass,ちく,たくわ.える,9,N1,48
崩,jōyō,crumble,ほう,くず.*,9,N1,37
紛,jōyō,distract,ふん,"まぎ.*, まぐ.*",9,N1,42
敷,jōyō,spread,ふ,"しき, し",9,N1,40
胆,jōyō,guts,たん,きも,9,N1,59
寺,jōyō,temple,じ,てら,2,N2,15
矢,jōyō,arrow,し,や,2,N1,3
妥,jōyō,gentle,だ,,9,N1,14
枝,jōyō,branch,し,えだ,5,N2,34
液,jōyō,fluid,えき,,5,N2,32
純,jōyō,pure,じゅん,,6,N2,34
奈,jōyō,nara,な,な,9,N1,36
湯,jōyō,hot water,とう,ゆ,3,N2,12
穏,jōyō,calm,おん,おだ.やか,9,N1,46
衰,jōyō,decline,すい,おとろ.える,9,N1,49
帳,jōyō,notebook,ちょう,とばり,3,N1,48
譲,jōyō,defer,じょう,ゆず.る,9,N1,39
徐,jōyō,"gently, gentle",じょ,おもむ,9,N1,53
吠,hyōgai,"bark, howl, cry",ハイ、 ベイ,ほえ.る、 ほ.える,0,,0
臆,jōyō,"timidity, heart, mind, fear, cowardly",オク、 ヨク,むね、 おくする,9,,0
項,jōyō,paragraph,こう,,9,N1,39
臣,jōyō,"servant, retainer","しん, じん",,4,N2,29
伴,jōyō,accompany,はん,ともな.う,9,N1,38
抵,jōyō,resist,てい,,9,N1,37
敏,jōyō,alert,びん,,9,N1,40
掘,jōyō,dig,くつ,ほ.る,9,N2,42
佐,jōyō,help,さ,,9,N1,47
漫,jōyō,manga,まん,,9,N1,50
溺,jōyō,"drown, indulge",デキ、 ジョウ、 ニョウ,いばり、 おぼ.れる,9,,0
充,jōyō,allocate,じゅう,,9,N1,39
肌,jōyō,skin,,はだ,9,N2,45
華,jōyō,showy,か,はな,9,N1,31
縮,jōyō,shrink,しゅく,"ちぢ, ちじ",6,N1,34
溶,jōyō,melt,よう,と.ける,9,N2,48
囚,jōyō,criminal,しゅう,とら,9,N1,60
巨,jōyō,giant,きょ,,9,N2,28
湿,jōyō,damp,しつ,しめ.らせる,9,N2,45
励,jōyō,encourage,れい,はげ.*,9,N1,26
剣,jōyō,sword,けん,,9,N1,35
棄,jōyō,abandon,き,,9,N1,41
畑,jōyō,field,,"はたけ, はた",3,,41
拍,jōyō,beat,"はく, ひょう",,9,N1,56
卓,jōyō,table,たく,,9,N1,45
枯,jōyō,wither,こ,か,9,N2,51
縁,jōyō,edge,"えん, ねん",ふち,9,N1,44
汗,jōyō,sweat,かん,あせ,9,N2,26
顧,jōyō,review,こ,かえり.みる,9,N1,40
涼,jōyō,cool,りょう,すず.しい,9,N2,46
執,jōyō,tenacious,"しゅう, しつ",と.る,9,N1,37
是,jōyō,absolutely,ぜ,,9,N1,17
粗,jōyō,"coarse, rough",そ,あら,9,N1,55
維,jōyō,maintain,い,,9,N1,36
妊,jōyō,pregnant,にん,,9,N1,38
妨,jōyō,"obstruct, impede",ぼう,さまた.げる,9,N1,20
賭,jōyō,gamble,,か,9,,45
脇,jōyō,armpit,きょう,わき,9,,48
穫,jōyō,harvest,かく,,9,N1,48
濡,jinmeiyō,"get wet, damp, make love",ジュ、 ニュ,ぬれ.る、 ぬら.す、 ぬ.れる、 ぬ.らす、 うるお.い、 うるお.う、 うるお.す,0,,0
匂,jōyō,"fragrant, stink, glow, insinuate, (kokuji)",,にお.う、 にお.い、 にお.わせる,9,,0
糸,jōyō,thread,,いと,1,N2,4
樹,jōyō,wood,じゅ,き,6,N1,41
鋭,jōyō,sharp,えい,するど.い,9,N2,40
噛,hyōgai,"chew, bite, gnaw",コウ、 ゴウ,か.む、 か.じる,0,,0
貫,jōyō,"pierce, sushi counter",かん,"つらぬ, ぬき, ぬ",9,N1,52
僚,jōyō,colleague,りょう,,9,N1,29
懐,jōyō,nostalgia,かい,なつ,9,N1,30
河,jōyō,river,か,かわ,5,N2,26
宮,jōyō,"shinto shrine, shrine, palace",きゅう,みや,3,N1,22
恩,jōyō,kindness,おん,おん,5,N1,32
蒸,jōyō,steam,じょう,"む.れる, む.らす",6,N2,33
稲,jōyō,rice plant,,"いね, いな",9,N1,39
偽,jōyō,fake,ぎ,"にせ, いつわ.る",9,N1,41
誓,jōyō,vow,せい,ちか.う,9,N1,49
沸,jōyō,boil,ふつ,わ,9,N2,51
償,jōyō,reparation,しょう,つぐな.う,9,N1,37
履,jōyō,boots,り,は.く,9,N1,19
陣,jōyō,army base,じん,,9,N1,37
却,jōyō,contrary,きゃく,かえって,9,N1,38
隷,jōyō,slave,れい,,9,N1,34
塀,jōyō,fence,へい,,9,N1,47
炭,jōyō,charcoal,たん,すみ,3,N2,41
剤,jōyō,dose,ざい,,9,N1,40
璧,jōyō,"sphere, ball",ヘキ,たま,9,,0
坂,jōyō,slope,はん,さか,3,N2,15
猛,jōyō,fierce,もう,,9,N1,29
旗,jōyō,flag,き,はた,4,N1,30
融,jōyō,dissolve,ゆう,,9,N1,31
跳,jōyō,hop,ちょう,"と.ぶ, は.ねる",9,N1,37
削,jōyō,whittle down,さく,けず.る,9,N1,37
獄,jōyō,prison,ごく,,9,N1,35
糧,jōyō,provisions,"りょう, ろう",かて,9,N1,52
謎,jōyō,riddle,,なぞ,9,,44
排,jōyō,reject,はい,,9,N1,40
露,jōyō,"expose, dew","ろ, ろう",つゆ,9,N1,43
豪,jōyō,luxurious,ごう,,9,N1,31
索,jōyō,search,さく,,9,N1,29
灰,jōyō,ashes,,はい,6,N2,33
躍,jōyō,leap,やく,おど.る,9,N1,39
寸,jōyō,measurement,すん,,6,N1,44
偏,jōyō,biased,へん,かたよ,9,N1,52
儲,jinmeiyō,"be profitable, yield profit",チョ,もう.ける、 もう.かる、 もうけ、 たくわ.える,0,,0
虚,jōyō,void,"きょ, こ","むな.しい	",9,N1,17
督,jōyō,coach,とく,,9,N1,29
往,jōyō,depart,おう,,5,N1,26
賄,jōyō,bribe,わい,まかな.う,9,N1,38
奨,jōyō,encourage,しょう,,9,N1,49
憂,jōyō,grief,ゆう,"う, うれ",9,N1,55
縫,jōyō,sew,ほう,ぬ,9,N1,56
麗,jōyō,lovely,れい,うるわ.しい,9,N1,28
央,jōyō,"central, center, centre",おう,,3,N2,4
拡,jōyō,extend,かく,ひろ.がる,6,N1,33
肺,jōyō,lung,はい,はい,6,N1,33
挑,jōyō,challenge,ちょう,いど.む,9,N1,42
綿,jōyō,cotton,めん,わた,5,N2,46
哀,jōyō,pathetic,あい,あわ.れ*,9,N1,47
函,jinmeiyō,box (archaic),カン,はこ、 い.れる,0,,0
頓,jōyō,"suddenly, immediately, in a hurry, arrange, stay in place, bow, kowtow",トン、 トツ,にわか.に、 とん.と、 つまず.く、 とみ.に、 ぬかずく,9,,0
堅,jōyō,solid,けん,かた,9,N1,42
磁,jōyō,magnet,じ,,6,N1,34
豆,jōyō,beans,とう,まめ,3,N1,34
称,jōyō,title,しょう,"とな.える, たた.える",9,N1,38
縄,jōyō,rope,じょう,なわ,9,N1,36
携,jōyō,portable,けい,たずさ.わる,9,N1,40
克,jōyō,overcome,こく,,9,N1,42
貢,jōyō,tribute,こう,みつ.ぐ,9,N1,43
銘,jōyō,inscription,めい,,9,N1,50
粧,jōyō,cosmetics,しょう,,9,,47
培,jōyō,cultivate,ばい,つちか.う,9,N1,48
吐,jōyō,"throw up, spit",と,は,9,N1,34
騰,jōyō,inflation,とう,"あが, のぼ",9,N1,53
愉,jōyō,pleasant,ゆ,たの,9,N1,55
鶏,jōyō,chicken,けい,"とり, にわとり",9,N1,58
捧,jinmeiyō,"lift up, give, offer, consecrate, sacrifice, dedicate",ホウ,ささ.げる,0,,0
烈,jōyō,"violent, intense",れつ,はげ.しい,9,N1,29
既,jōyō,previously,き,すで,9,N1,31
刊,jōyō,edition,かん,,5,N2,38
網,jōyō,netting,もう,あみ,9,N1,42
砲,jōyō,cannon,ほう,,9,N1,44
墜,jōyō,crash,つい,,9,N1,47
斎,jōyō,purification,さい,いつ.く,9,N1,42
隔,jōyō,isolate,かく,へだ.*,9,N1,49
郊,jōyō,suburbs,こう,,9,N2,51
栽,jōyō,planting,さい,,9,N1,54
惨,jōyō,disaster,"さん, ざん","みじ, いた, むご",9,N1,53
梅,jōyō,"ume, japanese plum",ばい,うめ,4,N1,17
掲,jōyō,display,けい,かかげる,9,N1,37
